Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage
UP000287177	Mycolicibacterium elephantis DSM 44368	1335622	5203	C:98.9%[S:98.5%,D:0.4%],F:0.3%,M:0.8%,n:743	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Mycobacteriales, Mycobacteriaceae, Mycolicibacterium, Mycolicibacterium elephantis
UP000287188	Dictyobacter kobayashii	2014872	8237	C:85.2%[S:81.5%,D:3.7%],F:5.2%,M:9.6%,n:271	Unknown	cellular organisms, Bacteria, Bacillati, Chloroflexota, Ktedonobacteria, Ktedonobacterales, Dictyobacteraceae, Dictyobacter
UP000287198	Pseudidiomarina halophila	1449799	2379	C:96.3%[S:96.2%,D:0.1%],F:0.0%,M:3.7%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Pseudidiomarina
UP000287224	Dictyobacter aurantiacus	1936993	7362	C:94.1%[S:88.6%,D:5.5%],F:1.1%,M:4.8%,n:271	Unknown	cellular organisms, Bacteria, Bacillati, Chloroflexota, Ktedonobacteria, Ktedonobacterales, Dictyobacteraceae, Dictyobacter
UP000287239	Vagococcus salmoninarum	2739	2859	C:99.5%[S:99.5%,D:0.0%],F:0.0%,M:0.5%,n:402	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Lactobacillales, Enterococcaceae, Vagococcus
UP000287243	Velamenicoccus archaeovorus	1930593	1851	C:84.7%[S:84.7%,D:0.0%],F:6.5%,M:8.9%,n:124	Unknown	cellular organisms, Bacteria, Pseudomonadati, PVC group, Candidatus Omnitrophota, Candidatus Velamenicoccus
UP000287247	Aphanothece sacrum FPU1	1920663	4301	C:95.4%[S:94.9%,D:0.5%],F:0.8%,M:3.8%,n:1493	Unknown	cellular organisms, Bacteria, Bacillati, Cyanobacteriota/Melainabacteria group, Cyanobacteriota, Cyanophyceae, Oscillatoriophycideae, Chroococcales, Aphanothecaceae, Aphanothece, Aphanothece sacrum
UP000287330	Idiomarina fontislapidosi	263723	2617	C:97.1%[S:96.8%,D:0.2%],F:0.4%,M:2.6%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina
UP000287336	Vreelandella andesensis	447567	3372	C:99.4%[S:99.0%,D:0.3%],F:0.0%,M:0.6%,n:619	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Vreelandella
UP000287352	Tengunoibacter tsumagoiensis	2014871	5981	C:94.1%[S:90.8%,D:3.3%],F:0.7%,M:5.2%,n:271	Unknown	cellular organisms, Bacteria, Bacillati, Chloroflexota, Ktedonobacteria, Ktedonobacterales, Dictyobacteraceae, Tengunoibacter
UP000287356	Bat circovirus POA/2012/V	1572238	2		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Jormunvirales, Draupnirviridae, Vegetinivirus, Vegetinivirus molmolis
UP000287361	Anaerotignum faecicola	2358141	2379	C:98.4%[S:98.0%,D:0.4%],F:0.8%,M:0.8%,n:247	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Clostridia, Lachnospirales, Anaerotignaceae, Anaerotignum
UP000287374	Legionella qingyii	2184757	3207	C:99.7%[S:99.6%,D:0.1%],F:0.0%,M:0.3%,n:772	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella
UP000287385	Acetobacter pasteurianus NBRC 3278	1226660	3602	C:98.8%[S:98.6%,D:0.2%],F:0.5%,M:0.7%,n:432	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, Acetobacter, Acetobacter pasteurianus
UP000287410	Aliidiomarina sedimenti	1933879	2639	C:96.0%[S:95.7%,D:0.2%],F:0.2%,M:3.8%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Aliidiomarina
UP000287447	Hwanghaeella grinnelliae	2500179	4801	C:99.4%[S:98.9%,D:0.5%],F:0.0%,M:0.6%,n:617	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Alphaproteobacteria, Rhodospirillales, Aestuariispiraceae, Hwanghaeella
UP000287470	Bifidobacterium samirii	2306974	1965	C:94.9%[S:94.2%,D:0.7%],F:0.3%,M:4.8%,n:292	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium
UP000287502	Geovibrio thiophilus	139438	2687	C:97.6%[S:96.8%,D:0.8%],F:0.8%,M:1.6%,n:124	Unknown	cellular organisms, Bacteria, Pseudomonadati, Deferribacterota, Deferribacteres, Deferribacterales, Geovibrionaceae, Geovibrio
UP000287519	Rhodococcus wratislaviensis (Tsukamurella wratislaviensis)	44752	9073	C:98.7%[S:96.5%,D:2.2%],F:0.8%,M:0.5%,n:743	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Mycobacteriales, Nocardiaceae, Rhodococcus
UP000287527	Flavobacterium cerinum	2502784	3673	C:99.7%[S:99.3%,D:0.4%],F:0.0%,M:0.3%,n:733	Unknown	cellular organisms, Bacteria, Pseudomonadati, FCB group, Bacteroidota/Chlorobiota group, Bacteroidota, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium
UP000287533	Bifidobacterium goeldii	2306975	2046	C:95.5%[S:94.5%,D:1.0%],F:0.7%,M:3.8%,n:292	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium
UP000287563	Photobacterium chitinilyticum	2485123	5141	C:99.8%[S:99.0%,D:0.8%],F:0.0%,M:0.2%,n:1445	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Vibrionales, Vibrionaceae, Photobacterium
UP000287601	Aminipila luticellarii	2507160	2438	C:99.2%[S:98.4%,D:0.8%],F:0.0%,M:0.8%,n:247	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Clostridia, Peptostreptococcales, Anaerovoracaceae, Aminipila
UP000287602	Audaxivirus yotargis	3426499	2		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Jormunvirales, Draupnirviridae, Audaxivirus
UP000287605	Vagococcus elongatus	180344	2619	C:99.3%[S:98.3%,D:1.0%],F:0.0%,M:0.7%,n:402	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Lactobacillales, Enterococcaceae, Vagococcus
UP000287609	Bifidobacterium dolichotidis	2306976	1448	C:94.5%[S:94.2%,D:0.3%],F:0.3%,M:5.1%,n:292	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium
UP000287649	Pseudidiomarina homiensis	364198	2406	C:97.4%[S:97.3%,D:0.1%],F:0.0%,M:2.6%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Pseudidiomarina
UP000287670	Vehemenivirus recresis	3433149	2		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Jormunvirales, Draupnirviridae, Vehemenivirus
UP000287687	Neorhizobium lilium	2503024	4834	C:96.4%[S:96.0%,D:0.4%],F:0.2%,M:3.4%,n:1937	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Alphaproteobacteria, Hyphomicrobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Neorhizobium
UP000287756	Halobacillus litoralis	45668	4177	C:99.8%[S:99.6%,D:0.2%],F:0.0%,M:0.2%,n:450	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Bacillales, Bacillaceae, Halobacillus
UP000287766	Pseudidiomarina aestuarii	624146	2341	C:97.1%[S:97.0%,D:0.1%],F:0.1%,M:2.8%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Pseudidiomarina
UP000287798	Thiohalobacter thiocyanaticus	585455	2845	C:92.3%[S:91.5%,D:0.8%],F:0.5%,M:7.1%,n:366	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Thiohalobacterales, Thiohalobacteraceae, Thiohalobacter
UP000287823	Aliidiomarina soli	1928574	2855	C:96.2%[S:96.0%,D:0.2%],F:0.4%,M:3.4%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Aliidiomarina
UP000287834	Aguamentivirus racskinis	3425995	3		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geplanaviridae, Aguamentivirus
UP000287853	Candidatus Electrothrix aarhusensis	1859131	4071	C:77.4%[S:77.4%,D:0.0%],F:12.9%,M:9.7%,n:124	Unknown	cellular organisms, Bacteria, Pseudomonadati, Thermodesulfobacteriota, Desulfobulbia, Desulfobulbales, Desulfobulbaceae, Candidatus Electrothrix
UP000287857	Vagococcus vulneris	1977869	2196	C:99.0%[S:98.8%,D:0.2%],F:0.2%,M:0.7%,n:402	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Lactobacillales, Enterococcaceae, Vagococcus
UP000287865	Aliidiomarina maris	531312	2762	C:95.6%[S:95.4%,D:0.2%],F:0.4%,M:4.0%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Aliidiomarina
UP000287872	Clostridium tagluense	360422	4934	C:99.6%[S:98.5%,D:1.1%],F:0.0%,M:0.4%,n:264	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Clostridia, Eubacteriales, Clostridiaceae, Clostridium
UP000287908	Idiomarina seosinensis	281739	2485	C:96.7%[S:96.7%,D:0.0%],F:0.4%,M:2.9%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina
UP000287910	Lysinibacillus antri	2498145	3826	C:99.3%[S:98.9%,D:0.4%],F:0.2%,M:0.4%,n:450	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Bacillales, Bacillaceae, Lysinibacillus
UP000287912	Klebsiella phage Henu1	2492437	42		Unknown	Viruses, Duplodnaviria, Heunggongvirae, Uroviricota, Caudoviricetes, Autographivirales, Autotranscriptaviridae, Studiervirinae, Przondovirus, Przondovirus henu1
UP000287962	Thermus scotoductus	37636	2465	C:85.5%[S:80.6%,D:4.8%],F:5.6%,M:8.9%,n:124	Unknown	cellular organisms, Bacteria, Thermotogati, Deinococcota, Deinococci, Thermales, Thermaceae, Thermus
UP000287969	Acidilutibacter cellobiosedens	2507161	3396	C:97.2%[S:96.5%,D:0.7%],F:0.2%,M:2.5%,n:433	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Tissierellia, Tissierellales, Acidilutibacteraceae, Acidilutibacter
UP000287972	Fusarium floridanum	1325733	16761	C:95.4%[S:94.8%,D:0.6%],F:1.1%,M:3.5%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Nectriaceae, Fusarium, Fusarium solani species complex
UP000287996	Idiomarina tyrosinivorans	1445662	2274	C:96.1%[S:96.1%,D:0.0%],F:0.2%,M:3.7%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina
UP000288012	Legionella septentrionalis	2498109	2276	C:99.6%[S:99.6%,D:0.0%],F:0.1%,M:0.3%,n:772	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella
UP000288024	Niallia taxi	2499688	5402	C:100.0%[S:99.6%,D:0.4%],F:0.0%,M:0.0%,n:450	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Bacillales, Bacillaceae, Niallia
UP000288028	Vagococcus carniphilus	218144	2902	C:99.3%[S:99.0%,D:0.2%],F:0.0%,M:0.7%,n:402	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Lactobacillales, Enterococcaceae, Vagococcus
UP000288052	Bifidobacterium castoris	2306972	2051	C:94.5%[S:94.2%,D:0.3%],F:0.7%,M:4.8%,n:292	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium
UP000288058	Idiomarina ramblicola	263724	2512	C:97.4%[S:97.3%,D:0.1%],F:0.0%,M:2.6%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina
UP000288071	Paenirhodobacter huangdaonensis	2501515	3902	C:99.9%[S:99.6%,D:0.2%],F:0.0%,M:0.1%,n:833	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Alphaproteobacteria, Rhodobacterales, Rhodobacter group, Paenirhodobacter
UP000288079	Bacteroides faecalis	2447885	4637	C:97.0%[S:94.1%,D:3.0%],F:0.7%,M:2.2%,n:541	Unknown	cellular organisms, Bacteria, Pseudomonadati, FCB group, Bacteroidota/Chlorobiota group, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides
UP000288086	Candidatus Electrothrix communis	1859133	1454	C:28.2%[S:28.2%,D:0.0%],F:21.0%,M:50.8%,n:124	Unknown	cellular organisms, Bacteria, Pseudomonadati, Thermodesulfobacteriota, Desulfobulbia, Desulfobulbales, Desulfobulbaceae, Candidatus Electrothrix
UP000288096	Desulfonema ishimotonii	45657	5012	C:95.7%[S:94.3%,D:1.3%],F:0.8%,M:3.5%,n:599	Unknown	cellular organisms, Bacteria, Pseudomonadati, Thermodesulfobacteriota, Desulfobacteria, Desulfobacterales, Desulfococcaceae, Desulfonema
UP000288102	Flavobacterium cupreum	2133766	5062	C:99.9%[S:99.3%,D:0.5%],F:0.0%,M:0.1%,n:733	Unknown	cellular organisms, Bacteria, Pseudomonadati, FCB group, Bacteroidota/Chlorobiota group, Bacteroidota, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium
UP000288127	Pseudidiomarina marina	502366	2235	C:97.3%[S:97.3%,D:0.0%],F:0.2%,M:2.4%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Pseudidiomarina
UP000288168	Fusarium duplospermum	1325734	16262	C:98.4%[S:97.9%,D:0.5%],F:0.8%,M:0.8%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Nectriaceae, Fusarium, Fusarium solani species complex
UP000288178	Rubrivivax albus	2499835	4847	C:98.4%[S:98.0%,D:0.4%],F:0.0%,M:1.6%,n:688	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Betaproteobacteria, Burkholderiales, Sphaerotilaceae, Rubrivivax
UP000288197	Vagococcus fluvialis	2738	2526	C:99.3%[S:98.8%,D:0.5%],F:0.0%,M:0.7%,n:402	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Lactobacillales, Enterococcaceae, Vagococcus
UP000288212	Aliidiomarina haloalkalitolerans	859059	2391	C:94.8%[S:94.3%,D:0.5%],F:0.1%,M:5.1%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Aliidiomarina
UP000288216	Scyliorhinus torazame (Cloudy catshark) (Catulus torazame)	75743	27602	C:77.4%[S:74.5%,D:2.9%],F:12.9%,M:9.7%,n:3354	Unknown	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Chondrichthyes, Elasmobranchii, Selachii, Galeomorphii, Galeoidea, Carcharhiniformes, Scyliorhinidae, Scyliorhinus
UP000288227	Chryseotalea sanaruensis	2482724	3948	C:97.4%[S:96.9%,D:0.5%],F:0.4%,M:2.2%,n:768	Unknown	cellular organisms, Bacteria, Pseudomonadati, FCB group, Bacteroidota/Chlorobiota group, Bacteroidota, Cytophagia, Cytophagales, Chryseotaleaceae, Chryseotalea
UP000288246	Cellulomonas algicola	2071633	3693	C:94.4%[S:93.7%,D:0.7%],F:0.0%,M:5.6%,n:537	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Micrococcales, Cellulomonadaceae, Cellulomonas
UP000288259	Pseudidiomarina insulisalsae	575789	2323	C:97.2%[S:97.1%,D:0.1%],F:0.1%,M:2.7%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Pseudidiomarina
UP000288279	Pseudidiomarina taiwanensis	337250	2021	C:95.1%[S:95.1%,D:0.0%],F:0.1%,M:4.8%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Pseudidiomarina
UP000288291	Lactobacillus xujianguonis	2495899	2074	C:99.8%[S:99.3%,D:0.5%],F:0.0%,M:0.2%,n:402	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus
UP000288293	Aliidiomarina minuta	880057	2751	C:96.6%[S:96.5%,D:0.1%],F:0.1%,M:3.3%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Aliidiomarina
UP000288395	Aliidiomarina iranensis	1434071	2349	C:95.0%[S:94.8%,D:0.2%],F:0.1%,M:4.9%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Aliidiomarina
UP000288405	Aliidiomarina sanyensis	1249555	2334	C:94.9%[S:94.4%,D:0.5%],F:0.4%,M:4.8%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Aliidiomarina
UP000288429	Fusarium ambrosium	131363	17261	C:98.0%[S:97.4%,D:0.6%],F:1.1%,M:0.9%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Nectriaceae, Fusarium, Fusarium solani species complex
UP000288450	Sagusvirus crownis	3432225	2		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Saturnivirales, Kanorauviridae, Sagusvirus
UP000288490	Vagococcus bubulae	1977868	2356	C:99.0%[S:98.8%,D:0.2%],F:0.0%,M:1.0%,n:402	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Lactobacillales, Enterococcaceae, Vagococcus
UP000288547	Labedella phragmitis	2498849	3187	C:99.3%[S:99.1%,D:0.2%],F:0.0%,M:0.7%,n:537	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Micrococcales, Microbacteriaceae, Labedella
UP000288587	Inhella crocodyli	2499851	3430	C:97.8%[S:97.1%,D:0.7%],F:0.0%,M:2.2%,n:688	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Betaproteobacteria, Burkholderiales, Sphaerotilaceae, Inhella
UP000288603	Labedella populi	2498850	3116	C:99.3%[S:99.1%,D:0.2%],F:0.2%,M:0.6%,n:537	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Micrococcales, Microbacteriaceae, Labedella
UP000288607	Bifidobacterium callimiconis	2306973	2263	C:96.6%[S:95.9%,D:0.7%],F:0.3%,M:3.1%,n:292	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium
UP000288623	Candidatus Kurthia intestinigallinarum	1562256	3621	C:98.9%[S:98.9%,D:0.0%],F:0.0%,M:1.1%,n:450	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Bacillales, Caryophanaceae, Kurthia
UP000288669	Vagococcus entomophilus	1160095	2255	C:99.8%[S:99.8%,D:0.0%],F:0.0%,M:0.2%,n:402	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Bacilli, Lactobacillales, Enterococcaceae, Vagococcus
UP000288711	Janibacter hoylei PVAS-1	1210046	2923	C:99.8%[S:99.6%,D:0.2%],F:0.2%,M:0.0%,n:537	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Micrococcales, Intrasporangiaceae, Janibacter, Janibacter hoylei
UP000288716	Leptotrombidium deliense	299467	14651	C:85.1%[S:82.9%,D:2.2%],F:3.7%,M:11.1%,n:2934	Unknown	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Acari, Acariformes, Trombidiformes, Prostigmata, Anystina, Parasitengona, Trombiculoidea, Trombiculidae, Leptotrombidium
UP000288736	Persea americana chrysovirus	1587509	3		Unknown	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Chrymotiviricetes, Ghabrivirales, Alphatotivirineae, Chrysoviridae, Alphachrysovirus, Alphachrysovirus perseae
UP000288756	Sambucus virus S	2052851	4		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Bromoviridae, Bromovirus, Bromovirus SVS
UP000288761	Potato virus U	2170039	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Nepovirus usolani
UP000288784	Cow vetch latent virus	2056780	8		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Arfiviricetes, Mulpavirales, Nanoviridae, Nanovirus, Nanovirus viciacraccae
UP000288789	Pseudidiomarina gelatinasegens	2487740	2292	C:97.3%[S:97.2%,D:0.1%],F:0.1%,M:2.6%,n:820	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Pseudidiomarina
UP000288794	[Pantoea] beijingensis	1324864	3521	C:99.5%[S:99.3%,D:0.2%],F:0.0%,M:0.5%,n:440	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Erwinia
UP000288804	Yersinia hibernica	2339259	4240	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:440	Unknown	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Enterobacterales, Yersiniaceae, Yersinia
UP000288812	Anaerosphaera multitolerans	2487351	2100	C:99.8%[S:99.1%,D:0.7%],F:0.0%,M:0.2%,n:433	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerosphaera
UP000288857	Sapphire II virus	1810945	3		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Nairoviridae, Orthonairovirus, Orthonairovirus randallense, Orthonairovirus khani
UP000288876	Apple necrotic mosaic virus	1779339	4		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Martellivirales, Bromoviridae, Ilarvirus, Ilarvirus ApNMV
UP000288892	Candidatus Electrothrix marina	1859130	2161	C:58.9%[S:58.9%,D:0.0%],F:15.3%,M:25.8%,n:124	Unknown	cellular organisms, Bacteria, Pseudomonadati, Thermodesulfobacteriota, Desulfobulbia, Desulfobulbales, Desulfobulbaceae, Candidatus Electrothrix
UP000288915	Kaisodi virus	1564120	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Uukuvirus, Uukuvirus kaisodiense
UP000288929	Corynebacterium pelargi	1471400	2154	C:98.8%[S:98.8%,D:0.0%],F:0.1%,M:1.1%,n:743	Unknown	cellular organisms, Bacteria, Bacillati, Actinomycetota, Actinomycetes, Mycobacteriales, Corynebacteriaceae, Corynebacterium
UP000288947	Fervidobacterium changbaicum	310769	1919	C:99.3%[S:97.6%,D:1.7%],F:0.0%,M:0.7%,n:713	Unknown	cellular organisms, Bacteria, Thermotogati, Thermotogota, Thermotogae, Thermotogales, Fervidobacteriaceae, Fervidobacterium
UP000288951	Flavobacterium columnare	996	2609	C:98.8%[S:98.6%,D:0.1%],F:0.0%,M:1.2%,n:733	Unknown	cellular organisms, Bacteria, Pseudomonadati, FCB group, Bacteroidota/Chlorobiota group, Bacteroidota, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium
UP000288953	Candidatus Pseudomonas adelgestsugas	1302376	944	C:62.7%[S:62.7%,D:0.0%],F:0.1%,M:37.2%,n:782	Outlier (low value)	cellular organisms, Bacteria, Pseudomonadati, Pseudomonadota, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas
UP000288989	Mukawa virus	1569922	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Hareavirales, Phenuiviridae, Phlebovirus, Phlebovirus mukawaense
UP000288998	Zea mays chrysovirus 1	2382121	3		Unknown	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Chrymotiviricetes, Ghabrivirales, Alphatotivirineae, Chrysoviridae, Alphachrysovirus, Alphachrysovirus zeae
UP000289005	Alstroemeria yellow spot virus	2212644	5		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Bunyaviricetes, Elliovirales, Tospoviridae, Orthotospovirus, Orthotospovirus alstroemeriflavi
UP000289014	Red clover nepovirus A	2058094	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Nepovirus pratensis
UP000289132	Aliarcobacter trophiarum LMG 25534	1032241	2059	C:96.7%[S:96.5%,D:0.2%],F:0.3%,M:3.0%,n:628	Unknown	cellular organisms, Bacteria, Pseudomonadati, Campylobacterota, Epsilonproteobacteria, Campylobacterales, Arcobacteraceae, Aliarcobacter, Aliarcobacter trophiarum
UP000289152	Tremella mesenterica (Jelly fungus)	5217	8061	C:94.4%[S:94.0%,D:0.4%],F:1.9%,M:3.7%,n:4284	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Tremellomycetes, Tremellales, Tremellaceae, Tremella
UP000289166	Acetivibrio mesophilus	2487273	3299	C:99.2%[S:99.2%,D:0.0%],F:0.4%,M:0.4%,n:264	Unknown	cellular organisms, Bacteria, Bacillati, Bacillota, Clostridia, Acetivibrionales, Acetivibrionaceae, Acetivibrio
