family	domain	upid	taxid	organism	busco_C	cpd	protein_count	n_candidates	gene2acc_url
Albulidae	Eukaryota	UP000829720	1534307	Albula goreensis	85.7	Unknown	23548	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000829720/UP000829720_1534307.gene2acc.gz
Alcedinidae	Eukaryota	UP000648918	342381	Halcyon senegalensis	80.1	Unknown	14252	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000648918/UP000648918_342381.gene2acc.gz
Alcidae	Eukaryota	UP000578766	28697	Cepphus grylle (Black guillemot) (Alca grylle)	81.4	Unknown	14757	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000578766/UP000578766_28697.gene2acc.gz
Aleyrodidae	Eukaryota	UP001152759	7038	Bemisia tabaci (Sweetpotato whitefly) (Aleurodes tabaci)	94.9	Unknown	16554	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001152759/UP001152759_7038.gene2acc.gz
Alligatoridae	Eukaryota	UP000189705	38654	Alligator sinensis (Chinese alligator)	97.8	Unknown	34855	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000189705/UP000189705_38654.gene2acc.gz
Altingiaceae	Eukaryota	UP001415857	63359	Liquidambar formosana (Formosan gum)	82.8	Unknown	27652	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001415857/UP001415857_63359.gene2acc.gz
Alvinellidae	Eukaryota	UP001208570	53620	Paralvinella palmiformis	88.3	Unknown	24621	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001208570/UP001208570_53620.gene2acc.gz
Amanitaceae	Eukaryota	UP000242287	703135	Amanita thiersii Skay4041	97.2	Unknown	10343	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000242287/UP000242287_703135.gene2acc.gz
Amaranthaceae	Eukaryota	UP000813463	3562	Spinacia oleracea (Spinach)	98.0	Unknown	34300	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000813463/UP000813463_3562.gene2acc.gz
Ambassidae	Eukaryota	UP000515145	210632	Parambassis ranga (Indian glassy fish)	99.6	Unknown	35462	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000515145/UP000515145_210632.gene2acc.gz
Ambisporaceae	Eukaryota	UP000789831	144530	Ambispora gerdemannii	84.7	Unknown	13681	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000789831/UP000789831_144530.gene2acc.gz
Amborellaceae	Eukaryota	UP000017836	13333	Amborella trichopoda	90.3	Close to standard (low value)	27371	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000017836/UP000017836_13333.gene2acc.gz
Amniculicolaceae	Eukaryota	UP000799779	1392246	Amniculicola lignicola CBS 123094	87.1	Unknown	15571	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000799779/UP000799779_1392246.gene2acc.gz
Amorphothecaceae	Eukaryota	UP000241818	857342	Amorphotheca resinae ATCC 22711	93.6	Unknown	9640	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000241818/UP000241818_857342.gene2acc.gz
Ampullariidae	Eukaryota	UP000245119	400727	Pomacea canaliculata (Golden apple snail)	73.5	Unknown	21377	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000245119/UP000245119_400727.gene2acc.gz
Amylocorticiaceae	Eukaryota	UP000053263	944288	Plicaturopsis crispa FD-325 SS-3	9.5	Unknown	2710	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000053263/UP000053263_944288.gene2acc.gz
Anabantidae	Eukaryota	UP000265040	64144	Anabas testudineus (Climbing perch) (Anthias testudineus)	98.2	Unknown	64128	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000265040/UP000265040_64144.gene2acc.gz
Anacardiaceae	Eukaryota	UP001163603	434235	Pistacia integerrima	76.7	Unknown	34064	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001163603/UP001163603_434235.gene2acc.gz
Anaeramoebidae	Eukaryota	UP001150062	1746091	Anaeramoeba flamelloides	80.0	Unknown	28726	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001150062/UP001150062_1746091.gene2acc.gz
Anatidae	Eukaryota	UP000504639	219594	Aythya fuligula (Tufted duck) (Anas fuligula)	99.1	Unknown	23986	8	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000504639/UP000504639_219594.gene2acc.gz
Ancylistaceae	Eukaryota	UP000070444	796925	Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638) (Delacroixia coronata)	79.8	Unknown	10567	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000070444/UP000070444_796925.gene2acc.gz
Ancylostomatidae	Eukaryota	UP001303046	51031	Necator americanus (Human hookworm)	97.3	Unknown	41575	6	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001303046/UP001303046_51031.gene2acc.gz
Ancyrocephalidae	Eukaryota	UP001626550	1844966	Cichlidogyrus casuarinus	54.8	Unknown	14453	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001626550/UP001626550_1844966.gene2acc.gz
Andaluciidae	Eukaryota	UP000799049	505711	Andalucia godoyi (Flagellate)	10.6	Unknown	1023	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000799049/UP000799049_505711.gene2acc.gz
Anguillidae	Eukaryota	UP001044222	7936	Anguilla anguilla (European freshwater eel) (Muraena anguilla)	83.7	Unknown	28122	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001044222/UP001044222_7936.gene2acc.gz
Anguinidae	Eukaryota	UP001201812	166010	Ditylenchus destructor	72.5	Unknown	21174	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001201812/UP001201812_166010.gene2acc.gz
Anhimidae	Eukaryota	UP000537522	30388	Chauna torquata (Southern screamer)	73.2	Unknown	13466	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000537522/UP000537522_30388.gene2acc.gz
Anhingidae	Eukaryota	UP000657035	56067	Anhinga anhinga (Anhinga) (Plotus anhinga)	77.1	Unknown	13584	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000657035/UP000657035_56067.gene2acc.gz
Anisakidae	Eukaryota	UP000267096	6269	Anisakis simplex (Herring worm)	64.6	Unknown	20779	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000267096/UP000267096_6269.gene2acc.gz
Anseranatidae	Eukaryota	UP000567872	8851	Anseranas semipalmata (Magpie goose) (Anas semipalmata)	81.1	Unknown	14206	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000567872/UP000567872_8851.gene2acc.gz
Anthracoideaceae	Eukaryota	UP000246740	1882483	Testicularia cyperi	97.1	Unknown	7036	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000246740/UP000246740_1882483.gene2acc.gz
Aotidae	Eukaryota	UP000233020	37293	Aotus nancymaae (Ma's night monkey)	94.2	Unknown	41725	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000233020/UP000233020_37293.gene2acc.gz
Aphelenchoididae	Eukaryota	UP000659654	6326	Bursaphelenchus xylophilus (Pinewood nematode worm) (Aphelenchoides xylophilus)	76.3	Unknown	15766	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000659654/UP000659654_6326.gene2acc.gz
Aphelinidae	Eukaryota	UP001239111	131215	Eretmocerus hayati	80.5	Unknown	24449	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001239111/UP001239111_131215.gene2acc.gz
Aphididae	Eukaryota	UP000007819	7029	Acyrthosiphon pisum (Pea aphid)	99.2	Unknown	23442	9	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000007819/UP000007819_7029.gene2acc.gz
Apiaceae	Eukaryota	UP000077755	79200	Daucus carota subsp. sativus (Carrot)	98.4	Unknown	35531	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000077755/UP000077755_79200.gene2acc.gz
Apidae	Eukaryota	UP001642520	135666	Xylocopa violacea (Violet carpenter bee) (Apis violacea)	99.5	Unknown	19738	18	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001642520/UP001642520_135666.gene2acc.gz
Apiosporaceae	Eukaryota	UP001390339	335852	Apiospora arundinis	99.2	Unknown	14704	9	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001390339/UP001390339_335852.gene2acc.gz
Aplosporellaceae	Eukaryota	UP000799438	1176127	Aplosporella prunicola CBS 121167	97.0	Unknown	12493	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000799438/UP000799438_1176127.gene2acc.gz
Aplysiidae	Eukaryota	UP000694888	6500	Aplysia californica (California sea hare)	97.3	Unknown	23268	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000694888/UP000694888_6500.gene2acc.gz
Apocynaceae	Eukaryota	UP001060085	4058	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	91.1	Unknown	36593	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001060085/UP001060085_4058.gene2acc.gz
Apodidae	Eukaryota	UP000518305	243314	Hemiprocne comata	77.6	Unknown	13784	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000518305/UP000518305_243314.gene2acc.gz
Apogonidae	Eukaryota	UP000472271	375764	Sphaeramia orbicularis (orbiculate cardinalfish)	94.4	Unknown	57747	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000472271/UP000472271_375764.gene2acc.gz
Apterygidae	Eukaryota	UP001652627	2696672	Apteryx mantelli (North Island brown kiwi)	98.8	Unknown	28723	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001652627/UP001652627_2696672.gene2acc.gz
Apusomonadidae	Eukaryota	UP000054408	461836	Thecamonas trahens ATCC 50062	81.6	Unknown	10604	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000054408/UP000054408_461836.gene2acc.gz
Aquifoliaceae	Eukaryota	UP001642360	185542	Ilex paraguariensis (yerba mate)	77.3	Unknown	52268	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001642360/UP001642360_185542.gene2acc.gz
Araceae	Eukaryota	UP000663760	51605	Spirodela intermedia (Intermediate duckweed)	86.6	Unknown	21675	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000663760/UP000663760_51605.gene2acc.gz
Aramidae	Eukaryota	UP000567570	54356	Aramus guarauna (Limpkin) (Scolopax guarauna)	80.1	Unknown	14274	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000567570/UP000567570_54356.gene2acc.gz
Araneidae	Eukaryota	UP001497382	280406	Larinioides sclopetarius	97.2	Unknown	40304	5	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001497382/UP001497382_280406.gene2acc.gz
Arcidae	Eukaryota	UP001217089	220873	Tegillarca granosa (Malaysian cockle) (Anadara granosa)	61.8	Unknown	24806	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001217089/UP001217089_220873.gene2acc.gz
Ardeidae	Eukaryota	UP000525205	110676	Cochlearius cochlearius (Boat-billed heron)	80.8	Unknown	14058	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000525205/UP000525205_110676.gene2acc.gz
Arecaceae	Eukaryota	UP000504607	51953	Elaeis guineensis var. tenera (Oil palm)	98.3	Unknown	39172	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000504607/UP000504607_51953.gene2acc.gz
Argynnaceae	Eukaryota	UP000250266	1314670	Lepidopterella palustris CBS 459.81	98.5	Unknown	13861	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000250266/UP000250266_1314670.gene2acc.gz
Aristolochiaceae	Eukaryota	UP000825729	158543	Aristolochia fimbriata (White veined hardy Dutchman's pipe vine)	96.7	Unknown	21775	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000825729/UP000825729_158543.gene2acc.gz
Armadillidiidae	Eukaryota	UP000326759	96803	Armadillidium nasatum	74.9	Unknown	14427	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000326759/UP000326759_96803.gene2acc.gz
Artamidae	Eukaryota	UP000579941	9132	Gymnorhina tibicen (Australian magpie) (Cracticus tibicen)	76.6	Unknown	14291	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000579941/UP000579941_9132.gene2acc.gz
Artedidraconidae	Eukaryota	UP001219934	1090488	Pogonophryne albipinna	86.6	Unknown	30547	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001219934/UP001219934_1090488.gene2acc.gz
Artemiidae	Eukaryota	UP001187531	6661	Artemia franciscana (Brine shrimp) (Artemia sanfranciscana)	81.6	Unknown	23911	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001187531/UP001187531_6661.gene2acc.gz
Arthrodermataceae	Eukaryota	UP000002669	535722	Arthroderma gypseum (strain ATCC MYA-4604 / CBS 118893) (Microsporum gypseum)	98.5	Unknown	8921	10	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000002669/UP000002669_535722.gene2acc.gz
Ascarididae	Eukaryota	UP000887569	6257	Parascaris univalens (Nematode worm)	91.1	Unknown	31353	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000887569/UP000887569_6257.gene2acc.gz
Ascobolaceae	Eukaryota	UP000275078	1160509	Ascobolus immersus RN42	92.1	Unknown	17778	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000275078/UP000275078_1160509.gene2acc.gz
Ascodesmidaceae	Eukaryota	UP000298138	341454	Ascodesmis nigricans	96.4	Unknown	9617	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000298138/UP000298138_341454.gene2acc.gz
Ascoideaceae	Eukaryota	UP000095038	1344418	Ascoidea rubescens DSM 1968	94.9	Unknown	6735	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000095038/UP000095038_1344418.gene2acc.gz
Ascosphaeraceae	Eukaryota	UP000242877	392613	Ascosphaera apis ARSEF 7405	81.0	Unknown	6442	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000242877/UP000242877_392613.gene2acc.gz
Asparagaceae	Eukaryota	UP000243459	4686	Asparagus officinalis (Garden asparagus)	62.4	Unknown	24059	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000243459/UP000243459_4686.gene2acc.gz
Aspergillaceae	Eukaryota	UP001213799	40994	Penicillium hordei	99.6	Unknown	12329	157	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001213799/UP001213799_40994.gene2acc.gz
Astathelohaniidae	Eukaryota	UP001516464	164912	Astathelohania contejeani	93.5	Unknown	2865	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001516464/UP001516464_164912.gene2acc.gz
Asteraceae	Eukaryota	UP000215914	4232	Helianthus annuus (Common sunflower)	98.3	Unknown	88555	17	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000215914/UP000215914_4232.gene2acc.gz
Asterinidae	Eukaryota	UP000887568	46514	Patiria miniata (Bat star) (Asterina miniata)	98.5	Unknown	30311	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000887568/UP000887568_46514.gene2acc.gz
Astrephomenaceae	Eukaryota	UP001054857	47775	Astrephomene gubernaculifera	83.7	Unknown	13622	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001054857/UP001054857_47775.gene2acc.gz
Atheliaceae	Eukaryota	UP000076532	1759441	Athelia psychrophila	98.4	Unknown	29994	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000076532/UP000076532_1759441.gene2acc.gz
Atherinopsidae	Eukaryota	UP000677803	238744	Menidia menidia (Atlantic silverside)	85.0	Unknown	21059	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000677803/UP000677803_238744.gene2acc.gz
Atyidae	Eukaryota	UP001381693	373956	Halocaridina rubra (Hawaiian red shrimp)	82.3	Unknown	25261	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001381693/UP001381693_373956.gene2acc.gz
Aulographaceae	Eukaryota	UP000800041	1176131	Aulographum hederae CBS 113979	93.5	Unknown	12052	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000800041/UP000800041_1176131.gene2acc.gz
Auriculariaceae	Eukaryota	UP000006514	717982	Auricularia subglabra (strain TFB-10046 / SS5) (White-rot fungus) (Auricularia delicata (strain TFB10046))	7.6	Unknown	5290	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000006514/UP000006514_717982.gene2acc.gz
Auriscalpiaceae	Eukaryota	UP000814140	48021	Artomyces pyxidatus	97.6	Unknown	15125	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000814140/UP000814140_48021.gene2acc.gz
Babesiidae	Eukaryota	UP000002173	5865	Babesia bovis	98.4	Unknown	3213	9	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000002173/UP000002173_5865.gene2acc.gz
Bacillariaceae	Eukaryota	UP000693970	303405	Nitzschia inconspicua	100.0	Unknown	34694	4	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000693970/UP000693970_303405.gene2acc.gz
Baetidae	Eukaryota	UP000494165	197152	Cloeon dipterum	96.0	Close to standard (high value)	29886	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000494165/UP000494165_197152.gene2acc.gz
Bagridae	Eukaryota	UP001187315	175792	Tachysurus vachellii (Darkbarbel catfish) (Pelteobagrus vachellii)	96.4	Standard	23495	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001187315/UP001187315_175792.gene2acc.gz
Balaenicipitidae	Eukaryota	UP000528411	33584	Balaeniceps rex (Shoebill)	57.0	Unknown	12216	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000528411/UP000528411_33584.gene2acc.gz
Balaenopteridae	Eukaryota	UP000694857	9771	Balaenoptera musculus (Blue whale)	98.9	Unknown	42274	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000694857/UP000694857_9771.gene2acc.gz
Balanidae	Eukaryota	UP000440578	1232801	Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite)	85.3	Unknown	26159	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000440578/UP000440578_1232801.gene2acc.gz
Bangiaceae	Eukaryota	UP000798662	2788	Pyropia yezoensis (Susabi-nori) (Porphyra yezoensis)	51.0	Unknown	13100	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000798662/UP000798662_2788.gene2acc.gz
Basidiobolaceae	Eukaryota	UP000193498	1314790	Basidiobolus meristosporus CBS 931.73	97.4	Unknown	15513	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000193498/UP000193498_1314790.gene2acc.gz
Bathycoccaceae	Eukaryota	UP000009170	70448	Ostreococcus tauri (Marine green alga)	98.2	Unknown	7708	3	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000009170/UP000009170_70448.gene2acc.gz
Bathydraconidae	Eukaryota	UP000515161	8218	Gymnodraco acuticeps (Antarctic dragonfish)	96.3	Unknown	39778	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000515161/UP000515161_8218.gene2acc.gz
Bathyergidae	Eukaryota	UP000694906	10181	Heterocephalus glaber (Naked mole rat)	98.4	Unknown	48019	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000694906/UP000694906_10181.gene2acc.gz
Batillariidae	Eukaryota	UP001519460	370345	Batillaria attramentaria	73.0	Unknown	40206	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001519460/UP001519460_370345.gene2acc.gz
Betulaceae	Eukaryota	UP000327013	176857	Carpinus fangiana	84.0	Unknown	28539	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000327013/UP000327013_176857.gene2acc.gz
Bignoniaceae	Eukaryota	UP000231279	429701	Handroanthus impetiginosus	78.8	Unknown	29726	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000231279/UP000231279_429701.gene2acc.gz
Bionectriaceae	Eukaryota	UP000754883	160290	Clonostachys byssicola	97.4	Unknown	18485	10	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000754883/UP000754883_160290.gene2acc.gz
Blaberidae	Eukaryota	UP001233999	6984	Diploptera punctata (Pacific beetle cockroach)	87.1	Unknown	28315	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001233999/UP001233999_6984.gene2acc.gz
Blastocladiaceae	Eukaryota	UP000054350	578462	Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus)	86.9	Unknown	19092	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000054350/UP000054350_578462.gene2acc.gz
Blastocystidae	Eukaryota	UP000078348	478820	Blastocystis sp. subtype 1 (strain ATCC 50177 / NandII)	99.0	Unknown	6377	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000078348/UP000078348_478820.gene2acc.gz
Blattidae	Eukaryota	UP001148838	6978	Periplaneta americana (American cockroach) (Blatta americana)	61.4	Unknown	27025	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001148838/UP001148838_6978.gene2acc.gz
Blenniidae	Eukaryota	UP000472267	181472	Salarias fasciatus (Jewelled blenny) (Blennius fasciatus)	92.9	Unknown	55738	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000472267/UP000472267_181472.gene2acc.gz
Blepharismidae	Eukaryota	UP001162131	1481888	Blepharisma stoltei	94.7	Unknown	26456	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001162131/UP001162131_1481888.gene2acc.gz
Bodonidae	Eukaryota	UP000051952	75058	Bodo saltans (Flagellated protozoan)	88.5	Unknown	18124	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000051952/UP000051952_75058.gene2acc.gz
Boletaceae	Eukaryota	UP001194468	1328754	Boletus edulis BED1	93.6	Unknown	18020	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001194468/UP001194468_1328754.gene2acc.gz
Bolinopsidae	Eukaryota	UP001729289	27923	Mnemiopsis leidyi (Sea walnut) (Warty comb jellyfish)	80.9	Unknown	25028	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001729289/UP001729289_27923.gene2acc.gz
Bombycidae	Eukaryota	UP000005204	7091	Bombyx mori (Silk moth)	99.2	Unknown	23640	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000005204/UP000005204_7091.gene2acc.gz
Bombycillidae	Eukaryota	UP000532545	125297	Bombycilla garrulus (Bohemian waxwing) (Lanius garrulus)	73.9	Unknown	13775	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000532545/UP000532545_125297.gene2acc.gz
Bondarzewiaceae	Eukaryota	UP000030671	747525	Heterobasidion irregulare (strain TC 32-1)	97.1	Unknown	13159	2	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000030671/UP000030671_747525.gene2acc.gz
Boraginaceae	Eukaryota	UP001454036	34254	Lithospermum erythrorhizon (Purple gromwell) (Lithospermum officinale var. erythrorhizon)	86.5	Unknown	44024	1	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP001454036/UP001454036_34254.gene2acc.gz
